queue_position,candidate_id,ticker,company,acquirer,announcement_date,announcement_year,confidence,inclusion_status,needs_date_backfill,needs_standard_deal_confirmation,source_url,edgar_company_search_url,recommended_action,notes
81,RHC-0137-ACQUIRED-KPTI,KPTI,Karyopharm Therapeutics,EDGAR possible,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=KPTI+%22Karyopharm+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KPTI&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
82,RHC-0138-ACQUIRED-KROS,KROS,Keros Therapeutics,EDGAR possible,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=KROS+%22Keros+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KROS&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
83,RHC-0076-ACQUIRED-KRTX,KRTX,"Karuna Therapeutics, Inc.",Bristol Myers Squibb,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=KRTX+%22Karuna+Therapeutics%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KRTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
84,RHC-0077-ACQUIRED-LBPH,LBPH,"Longboard Pharmaceuticals, Inc.",Lundbeck,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=LBPH+%22Longboard+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=LBPH&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
85,RHC-0131-ACQUIRED-LMNX,LMNX,Luminex Corporation,DiaSorin,,2021,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=LMNX+%22Luminex+Corporation%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=LMNX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
86,RHC-0109-ACQUIRED-MOR,MOR,MorphoSys AG,Novartis,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=MOR+%22MorphoSys+AG%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MOR&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
87,RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",Eli Lilly,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=MORF+%22Morphic+Holding%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MORF&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
88,RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",Bristol Myers Squibb,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=MRTX+%22Mirati+Therapeutics%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MRTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
89,RHC-0106-ACQUIRED-SGEN,SGEN,Seagen Inc.,Pfizer,,2023,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=SGEN+%22Seagen+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SGEN&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
90,RHC-0107-ACQUIRED-SNDX,SNDX,Syndax Pharmaceuticals,Incyte,,2023,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=SNDX+%22Syndax+Pharmaceuticals%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SNDX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
91,RHC-0103-ACQUIRED-STML,STML,Stemline Therapeutics,Menarini,,2021,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=STML+%22Stemline+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=STML&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
92,RHC-0136-ACQUIRED-SYNH,SYNH,"Syneos Health, Inc.",Life-sciences services,,2023,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=SYNH+%22Syneos+Health%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SYNH&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
93,RHC-0132-ACQUIRED-TBIO,TBIO,Translate Bio,Sanofi,,2021,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=TBIO+%22Translate+Bio%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=TBIO&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
94,RHC-0139-ACQUIRED-TGTX,TGTX,TG Therapeutics,EDGAR possible,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=TGTX+%22TG+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=TGTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
95,RHC-0108-ACQUIRED-VECT,VECT,VectivBio Holding,Ironwood,,2023,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=VECT+%22VectivBio+Holding%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=VECT&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
96,RHC-0140-ACQUIRED-VSTM,VSTM,Verastem Oncology,EDGAR possible,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=VSTM+%22Verastem+Oncology%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=VSTM&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
