case_id,ticker,company,likely_outcome_year,announcement_date,date_confidence,needs_date_backfill,filings_collected,priority_tier,priority_reason,signal_phrase_types,signal_hit_count,adjudication_status,next_action,edgar_company_search_url,notes
RHC-0107-ACQUIRED-SNDX,SNDX,Syndax Pharmaceuticals,2023,2023-12-15,MEDIUM,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SNDX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0108-ACQUIRED-VECT,VECT,VectivBio Holding,2023,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=VECT&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0109-ACQUIRED-MOR,MOR,MorphoSys AG,2024,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MOR&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0131-ACQUIRED-LMNX,LMNX,Luminex Corporation,2021,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=LMNX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0132-ACQUIRED-TBIO,TBIO,Translate Bio,2021,2021-08-03,HIGH,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=TBIO&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0134-ACQUIRED-ENLV,ENLV,Enliven Therapeutics,2023,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ENLV&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0135-ACQUIRED-HRMY,HRMY,Harmony Biosciences,2023,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=HRMY&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0136-ACQUIRED-SYNH,SYNH,"Syneos Health, Inc.",2023,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SYNH&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0137-ACQUIRED-KPTI,KPTI,Karyopharm Therapeutics,2024,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KPTI&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0138-ACQUIRED-KROS,KROS,Keros Therapeutics,2024,2024-12-03,MEDIUM,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KROS&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0139-ACQUIRED-TGTX,TGTX,TG Therapeutics,2024,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=TGTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0140-ACQUIRED-VSTM,VSTM,Verastem Oncology,2024,2024-01-08,MEDIUM,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=VSTM&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
