case_id,ticker,company,likely_outcome_year,current_announcement_date,date_confidence,needs_date_backfill,edgar_company_search_url,edgar_merger_8k_query_url,edgar_sc14d9_query_url,suggested_query_terms,notes
RHC-0103-ACQUIRED-STML,STML,Stemline Therapeutics,2021,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=STML&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Stemline%20Therapeutics%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Stemline%20Therapeutics%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","""Stemline Therapeutics"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ALBO&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Albireo%20Pharma%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Albireo%20Pharma%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Albireo Pharma"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=HZNP&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Horizon%20Therapeutics%20plc%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Horizon%20Therapeutics%20plc%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Horizon Therapeutics plc"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0106-ACQUIRED-SGEN,SGEN,Seagen Inc.,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SGEN&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Seagen%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Seagen%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Seagen Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0107-ACQUIRED-SNDX,SNDX,Syndax Pharmaceuticals,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SNDX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Syndax%20Pharmaceuticals%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Syndax%20Pharmaceuticals%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Syndax Pharmaceuticals"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0108-ACQUIRED-VECT,VECT,VectivBio Holding,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=VECT&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22VectivBio%20Holding%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22VectivBio%20Holding%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""VectivBio Holding"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0109-ACQUIRED-MOR,MOR,MorphoSys AG,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MOR&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22MorphoSys%20AG%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22MorphoSys%20AG%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""MorphoSys AG"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0131-ACQUIRED-LMNX,LMNX,Luminex Corporation,2021,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=LMNX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Luminex%20Corporation%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Luminex%20Corporation%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","""Luminex Corporation"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0132-ACQUIRED-TBIO,TBIO,Translate Bio,2021,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=TBIO&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Translate%20Bio%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Translate%20Bio%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","""Translate Bio"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0134-ACQUIRED-ENLV,ENLV,Enliven Therapeutics,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ENLV&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Enliven%20Therapeutics%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Enliven%20Therapeutics%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Enliven Therapeutics"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0135-ACQUIRED-HRMY,HRMY,Harmony Biosciences,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=HRMY&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Harmony%20Biosciences%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Harmony%20Biosciences%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Harmony Biosciences"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0136-ACQUIRED-SYNH,SYNH,"Syneos Health, Inc.",2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SYNH&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Syneos%20Health%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Syneos%20Health%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Syneos Health, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0137-ACQUIRED-KPTI,KPTI,Karyopharm Therapeutics,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KPTI&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Karyopharm%20Therapeutics%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Karyopharm%20Therapeutics%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Karyopharm Therapeutics"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0138-ACQUIRED-KROS,KROS,Keros Therapeutics,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KROS&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Keros%20Therapeutics%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Keros%20Therapeutics%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Keros Therapeutics"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0139-ACQUIRED-TGTX,TGTX,TG Therapeutics,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=TGTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22TG%20Therapeutics%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22TG%20Therapeutics%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""TG Therapeutics"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0140-ACQUIRED-VSTM,VSTM,Verastem Oncology,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=VSTM&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Verastem%20Oncology%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Verastem%20Oncology%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Verastem Oncology"" ""agreement and plan of merger""",No announcement date in dates file.
