ticker,case_id,announcement_date,hit_num,hit_of,accession_number,source_url,source_form,source_filing_date,days_before_announcement,hit_phrase,hit_classification,false_positive_pattern,evidence_summary,source_manually_pulled,source_context_inspected,case_final_classification,case_confidence,next_action
HZNP,RHC-0105-ACQUIRED-HZNP,2022-12-12,3,3,0001193125-22-275395,https://www.sec.gov/Archives/edgar/data/1492426/000119312522275395/0001193125-22-275395-index.htm,8-K,2022-11-02,40,option to acquire,FALSE_POSITIVE,WRONG_DIRECTION_ACQUISITION,"8-K announcing HZNP's ADX-914 option from Q32 Bio. Same wrong-direction acquisition. HZNP acquiring, not being acquired.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
SNDX,RHC-0107-ACQUIRED-SNDX,2023-12-15,1,2,0000950170-22-015523,https://www.sec.gov/Archives/edgar/data/1395937/000095017022015523/0000950170-22-015523-index.htm,10-Q,2022-08-08,494,sale of the company,RIGHTS_LANGUAGE_ONLY,PARTNER_EQUITY_STAKE_DIVESTITURE,"Incyte terminating collaboration agreement and returning $117M upfront payment. 'Cash settlement on the sale of the Company's common stock' = Incyte divesting its equity stake in Syndax upon partner termination. Not an acquisition process for Syndax.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
SNDX,RHC-0107-ACQUIRED-SNDX,2023-12-15,2,2,0000950170-22-021848,https://www.sec.gov/Archives/edgar/data/1395937/000095017022021848/0000950170-22-021848-index.htm,10-Q,2022-11-03,407,sale of the company,RIGHTS_LANGUAGE_ONLY,PARTNER_EQUITY_STAKE_DIVESTITURE,"Identical language in Q3 10-Q. Same Incyte equity stake termination settlement disclosure. Boilerplate quarterly repeat.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
STML,RHC-0103-ACQUIRED-STML,2020-05-04,1,5,0001104659-19-015293,https://www.sec.gov/Archives/edgar/data/1264587/000110465919015293/0001104659-19-015293-index.htm,10-K,2019-03-15,415,sale of the company,RIGHTS_LANGUAGE_ONLY,DIRECTOR_BIO_PRIOR_EMPLOYER,"10-K director biography. 'ultimately the sale of the company to Keryx Biopharmaceuticals' describes board member's prior role at a different company (not Stemline). Not Stemline process evidence.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
STML,RHC-0103-ACQUIRED-STML,2020-05-04,2,5,0001104659-19-028623,https://www.sec.gov/Archives/edgar/data/1264587/000110465919028623/0001104659-19-028623-index.htm,10-Q,2019-05-10,359,sale of the company,RIGHTS_LANGUAGE_ONLY,PERFORMANCE_CONDITION_EQUITY_AWARD,"'a change in control or a sale of the company, no expense is recognized.' Standard equity award accounting boilerplate for performance condition grants.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
STML,RHC-0103-ACQUIRED-STML,2020-05-04,3,5,0001104659-19-044314,https://www.sec.gov/Archives/edgar/data/1264587/000110465919044314/0001104659-19-044314-index.htm,10-Q,2019-08-06,271,sale of the company,RIGHTS_LANGUAGE_ONLY,PERFORMANCE_CONDITION_EQUITY_AWARD,"Identical performance condition equity award boilerplate in Q2 10-Q.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
STML,RHC-0103-ACQUIRED-STML,2020-05-04,4,5,0001104659-19-062655,https://www.sec.gov/Archives/edgar/data/1264587/000110465919062655/0001104659-19-062655-index.htm,10-Q,2019-11-12,173,sale of the company,RIGHTS_LANGUAGE_ONLY,PERFORMANCE_CONDITION_EQUITY_AWARD,"Identical performance condition equity award boilerplate in Q3 10-Q.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
STML,RHC-0103-ACQUIRED-STML,2020-05-04,5,5,0001104659-20-034154,https://www.sec.gov/Archives/edgar/data/1264587/000110465920034154/0001104659-20-034154-index.htm,10-K,2020-03-16,49,sale of the company,RIGHTS_LANGUAGE_ONLY,DIRECTOR_BIO_PRIOR_EMPLOYER,"Annual 10-K re-filing of director bio (same board member; same Keryx reference). Filed 49 days before announcement but is identical prior-employer biographical language.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
MRTX,RHC-0079-ACQUIRED-MRTX,2023-10-10,1,1,0001628280-22-014127,https://www.sec.gov/Archives/edgar/data/1576263/000162828022014127/0001628280-22-014127-index.htm,8-K,2022-05-12,516,sale of the company,RIGHTS_LANGUAGE_ONLY,S8_EQUITY_PLAN_BOILERPLATE,"2022 Equity Incentive Plan approval at Annual Meeting. S-8 registration boilerplate: 'offer or the sale of the Company's securities to such person.' Identical pattern to HZNP hit 1.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
ALBO,RHC-0104-ACQUIRED-ALBO,2023-01-09,1,1,0001104659-22-094468,https://www.sec.gov/Archives/edgar/data/1322505/000110465922094468/0001104659-22-094468-index.htm,424B3,2022-08-25,137,acquisition proposal,RIGHTS_LANGUAGE_ONLY,ANTITAKEOVER_PROVISION_PROSPECTUS,"424B3 prospectus anti-takeover provisions section. 'reduce our vulnerability to an unsolicited acquisition proposal' is standard Delaware Section 203 risk-factor disclosure, not evidence of an actual proposal.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
CHMA,RHC-0101-ACQUIRED-CHMA,2021-05-05,1,2,0001193125-20-123025,https://www.sec.gov/Archives/edgar/data/1339469/000119312520123025/0001193125-20-123025-index.htm,DEF 14A,2020-04-28,372,financial advisor,RIGHTS_LANGUAGE_ONLY,DIRECTOR_BIO_ADVISORY_CAREER,"Proxy director biography describing board member's career: 'years of experience providing strategic and financial advisory services.' Not about Chiasma's own sale process.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
CHMA,RHC-0101-ACQUIRED-CHMA,2021-05-05,2,2,0001193125-21-131446,https://www.sec.gov/Archives/edgar/data/1339469/000119312521131446/0001193125-21-131446-index.htm,DEF 14A,2021-04-26,9,financial advisor,RIGHTS_LANGUAGE_ONLY,DIRECTOR_BIO_ADVISORY_CAREER,"Same director bio pattern 9 days before announcement. 'Mr. Stack has confirmed...fully committed to continuing to dedicate the required amount of time.' Annual proxy re-filing of board member credentials, not acquisition process.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
CNST,RHC-0102-ACQUIRED-CNST,2021-06-02,0,0,,,,,,,,NO_HIT,,No signal hits in 427-filing EDGAR search. Zero possible_hit_rows for this ticker.,NO,NO,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
FUSN,RHC-0073-ACQUIRED-FUSN,2024-03-19,0,0,,,,,,,,NO_HIT,,No signal hits in 427-filing EDGAR search. Zero possible_hit_rows for this ticker.,NO,NO,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,MEDIUM,NONE
KROS,RHC-0138-ACQUIRED-KROS,2024-12-03,0,0,,,,,,,,NO_HIT,,No signal hits in 427-filing EDGAR search. Zero possible_hit_rows for this ticker.,NO,NO,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,MEDIUM,NONE
KRTX,RHC-0076-ACQUIRED-KRTX,2023-12-22,0,0,,,,,,,,NO_HIT,,No signal hits in 427-filing EDGAR search. Zero possible_hit_rows for this ticker.,NO,NO,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,MEDIUM,NONE
MORF,RHC-0078-ACQUIRED-MORF,2024-07-08,0,0,,,,,,,,NO_HIT,,No signal hits in 427-filing EDGAR search. Zero possible_hit_rows for this ticker.,NO,NO,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,MEDIUM,NONE
